customer_id,signup_date,acquisition_channel
C100184,2025-07-21,Influencer
C100185,2025-08-14,Google Ads
C100186,2025-01-26,Influencer
C100187,2025-01-01,Google Ads
C100188,2025-01-29,Meta Ads
C100189,2024-10-13,Organic
C100190,2024-11-02,Influencer
C100191,2025-09-16,Meta Ads
C100192,2024-10-08,Google Ads
C100193,2025-04-09,Meta Ads
C100194,2025-08-31,Influencer
C100195,2026-01-26,Meta Ads
C100196,2025-04-17,Meta Ads
C100197,2025-06-08,Meta Ads
C100198,2025-09-10,Meta Ads
C100199,2025-09-21,Referral
C100200,2026-01-19,Influencer
C100201,2024-12-10,Influencer
C100202,2025-03-18,Meta Ads
C100203,2025-11-16,Google Ads
C100204,2024-11-29,Organic
C100205,2025-08-20,Influencer
C100206,2026-01-28,Meta Ads
C100207,2025-04-02,Referral
C100208,2025-05-21,Organic
C100209,2025-07-25,Influencer
C100210,2025-01-21,Organic
C100211,2025-04-14,Organic
C100212,2025-03-22,Organic
C100213,2025-12-20,Organic
C100214,2024-12-20,Meta Ads
C100215,2024-10-24,Google Ads
C100216,2025-12-18,Organic
C100217,2025-12-07,Organic
C100218,2025-04-07,Referral
C100219,2025-05-06,Influencer
C100220,2025-12-08,Organic
C100221,2025-11-13,Influencer
C100222,2026-01-31,Google Ads
C100223,2025-07-24,Google Ads
C100224,2025-05-06,Meta Ads
C100225,2025-11-13,Google Ads
C100226,2025-04-04,Referral
C100227,2025-08-20,Organic
C100228,2025-08-21,Google Ads
C100229,2025-11-21,Referral
C100230,2024-10-04,Influencer
C100231,2024-11-03,Organic
C100232,2026-01-10,Influencer
C100233,2024-11-06,Organic
C100234,2026-01-17,Referral
C100235,2025-06-02,Influencer
C100236,2024-10-28,Referral
C100237,2024-11-29,Google Ads
C100238,2025-02-09,Meta Ads
C100239,2025-08-06,Meta Ads
C100240,2025-06-01,Organic
C100241,2025-11-14,Google Ads
C100242,2026-01-14,Influencer
C100243,2025-03-25,Influencer
C100244,2024-12-17,Meta Ads
C100245,2025-08-18,Organic
C100246,2025-06-11,Referral
C100247,2025-10-31,Organic
C100248,2025-10-02,Meta Ads
C100249,2025-03-20,Referral
C100250,2024-12-13,Influencer
C100251,2025-04-24,Google Ads
C100252,2026-01-14,Google Ads
C100253,2025-01-06,Meta Ads
C100254,2025-03-27,Referral
C100255,2024-10-24,Organic
C100256,2025-01-31,Meta Ads
C100257,2025-04-16,Google Ads
C100258,2024-12-14,Google Ads
C100259,2025-01-21,Influencer
C100260,2025-02-25,Meta Ads
C100261,2025-08-12,Google Ads
C100262,2024-11-09,Google Ads
C100263,2025-02-03,Influencer
C100264,2024-12-09,Organic
C100265,2025-07-15,Google Ads
C100266,2025-02-06,Meta Ads
C100267,2025-09-21,Google Ads
C100268,2025-12-10,Influencer
C100269,2025-01-12,Meta Ads
C100270,2025-09-23,Meta Ads
C100271,2025-08-03,Organic
C100272,2025-08-26,Organic
C100273,2025-05-17,Organic
C100274,2025-12-30,Referral
C100275,2024-12-30,Meta Ads
C100276,2025-06-24,Meta Ads
C100277,2026-01-02,Influencer
C100278,2025-08-04,Organic
C100279,2025-01-02,Google Ads
C100280,2024-11-13,Influencer
C100281,2025-04-27,Google Ads
C100282,2025-07-14,Google Ads
C100283,2025-08-10,Influencer
C100284,2025-08-31,Google Ads
C100285,2025-06-03,Referral
C100286,2025-03-18,Influencer
C100287,2025-04-17,Meta Ads
C100288,2024-11-22,Influencer
C100289,2025-12-13,Organic
C100290,2024-11-22,Influencer
C100291,2024-10-06,Influencer
C100292,2025-06-17,Meta Ads
C100293,2025-12-02,Meta Ads
C100294,2026-01-14,Google Ads
C100295,2024-11-27,Meta Ads
C100296,2024-12-21,Influencer
C100297,2024-11-27,Organic
C100298,2025-03-24,Influencer
C100299,2025-10-29,Meta Ads
C100300,2026-01-03,Meta Ads
C100301,2026-02-12,Meta Ads
C100302,2025-08-08,Google Ads
C100303,2025-10-25,Meta Ads
C100304,2025-12-21,Organic
C100305,2025-11-28,Google Ads
C100306,2025-03-07,Organic
C100307,2025-05-04,Google Ads
C100308,2026-02-09,Google Ads
C100309,2025-04-07,Meta Ads
C100310,2025-04-11,Referral
C100311,2025-09-10,Meta Ads
C100312,2024-12-24,Organic
C100313,2025-12-16,Google Ads
C100314,2025-06-09,Meta Ads
C100315,2024-12-13,Meta Ads
C100316,2026-01-24,Meta Ads
C100317,2025-11-11,Google Ads
C100318,2026-01-26,Meta Ads
C100319,2025-05-04,Organic
C100320,2024-11-17,Meta Ads
C100321,2025-06-18,Google Ads
C100322,2025-06-24,Google Ads
C100323,2025-08-17,Google Ads
C100324,2025-08-02,Organic
C100325,2025-02-20,Meta Ads
C100326,2025-12-09,Influencer
C100327,2024-10-06,Referral
C100328,2025-09-19,Meta Ads
C100329,2025-02-19,Influencer
C100330,2025-03-31,Google Ads
C100331,2025-04-09,Influencer
C100332,2025-10-06,Influencer
C100333,2024-10-08,Influencer
C100334,2026-01-28,Referral
C100335,2025-09-13,Influencer
C100336,2026-01-02,Meta Ads
C100337,2025-01-06,Meta Ads
C100338,2026-01-19,Influencer
C100339,2025-02-06,Organic
C100340,2025-09-18,Meta Ads
C100341,2025-02-19,Meta Ads
C100342,2026-01-25,Google Ads
C100343,2026-01-12,Influencer
C100344,2025-08-10,Meta Ads
C100345,2025-12-05,Google Ads
C100346,2025-08-13,Organic
C100347,2025-07-21,Meta Ads
C100348,2025-03-01,Google Ads
C100349,2025-07-16,Meta Ads
C100350,2025-05-18,Organic
C100351,2024-11-23,Meta Ads
C100352,2024-10-17,Google Ads
C100353,2025-07-01,Meta Ads
C100354,2025-07-13,Google Ads
C100355,2025-01-30,Organic
C100356,2024-12-03,Organic
C100357,2025-12-16,Organic
C100358,2024-12-06,Influencer
C100359,2025-08-28,Organic
C100360,2025-12-02,Referral
C100361,2025-11-24,Meta Ads
C100362,2025-07-23,Organic
C100363,2026-01-26,Organic
C100364,2024-12-29,Google Ads
C100365,2026-01-30,Meta Ads
C100366,2025-10-31,Meta Ads
C100367,2024-12-03,Meta Ads
C100368,2025-08-20,Google Ads
C100369,2025-08-25,Google Ads
C100370,2024-12-11,Influencer
C100371,2025-04-12,Organic
C100372,2025-10-26,Google Ads
C100373,2025-11-03,Google Ads
C100374,2025-07-07,Meta Ads
C100375,2025-05-27,Meta Ads
C100376,2025-07-01,Influencer
C100377,2025-09-20,Meta Ads
C100378,2025-01-18,Meta Ads
C100379,2025-12-18,Meta Ads
C100380,2026-02-01,Meta Ads
C100381,2025-01-02,Influencer
C100382,2025-06-15,Google Ads
C100383,2025-08-21,Google Ads
C100384,2025-12-21,Google Ads
C100385,2025-08-20,Google Ads
C100386,2025-07-08,Meta Ads
C100387,2024-12-24,Organic
C100388,2025-06-05,Meta Ads
C100389,2025-06-17,Google Ads
C100390,2025-10-13,Google Ads
C100391,2025-03-08,Organic
C100392,2025-03-03,Referral
C100393,2025-08-13,Meta Ads
C100394,2025-05-04,Google Ads
C100395,2025-04-20,Google Ads
C100396,2026-02-05,Influencer
C100397,2025-12-16,Organic
C100398,2025-03-04,Influencer
C100399,2026-02-06,Google Ads
C100400,2025-02-04,Organic
C100401,2024-12-07,Influencer
C100402,2024-10-09,Meta Ads
C100403,2025-03-11,Google Ads
C100404,2025-01-06,Meta Ads
C100405,2025-12-06,Meta Ads
C100406,2025-12-11,Referral
C100407,2025-12-19,Meta Ads
C100408,2025-10-26,Influencer
C100409,2025-03-10,Influencer
C100410,2025-10-29,Organic
C100411,2025-08-07,Google Ads
C100412,2025-08-23,Organic
C100413,2025-08-17,Google Ads
C100414,2025-05-18,Meta Ads
C100415,2025-12-01,Google Ads
C100416,2025-12-21,Meta Ads
C100417,2025-04-02,Google Ads
C100418,2025-11-12,Meta Ads
C100419,2024-12-08,Meta Ads
C100420,2025-10-13,Google Ads
C100421,2025-05-19,Google Ads
C100422,2025-05-23,Meta Ads
C100423,2025-08-27,Google Ads
C100424,2024-11-27,Organic
C100425,2024-10-22,Meta Ads
C100426,2025-11-06,Influencer
C100427,2025-07-30,Google Ads
C100428,2025-07-23,Google Ads
C100429,2025-11-10,Google Ads
C100430,2025-04-30,Google Ads
C100431,2025-01-12,Meta Ads
C100432,2026-01-23,Meta Ads
C100433,2025-10-15,Meta Ads
C100434,2025-07-31,Referral
C100435,2025-11-04,Google Ads
C100436,2024-10-01,Meta Ads
C100437,2025-05-12,Meta Ads
C100438,2025-01-09,Referral
C100439,2025-07-04,Influencer
C100440,2025-12-19,Meta Ads
C100441,2025-07-28,Google Ads
C100442,2025-08-01,Organic
C100443,2025-06-24,Meta Ads
C100444,2025-05-03,Google Ads
C100445,2025-04-30,Influencer
C100446,2024-10-06,Meta Ads
C100447,2025-04-23,Google Ads
C100448,2024-10-13,Meta Ads
C100449,2024-10-31,Meta Ads
C100450,2024-10-31,Organic
C100451,2024-10-03,Meta Ads
C100452,2025-01-30,Influencer
C100453,2025-06-10,Google Ads
C100454,2025-09-27,Organic
C100455,2025-03-07,Meta Ads
C100456,2024-10-13,Meta Ads
C100457,2025-01-04,Organic
C100458,2025-11-29,Organic
C100459,2025-05-27,Meta Ads
C100460,2025-11-19,Organic
C100461,2025-05-24,Influencer
C100462,2024-11-26,Influencer
C100463,2025-09-02,Influencer
C100464,2025-07-27,Influencer
C100465,2025-03-17,Google Ads
C100466,2025-04-24,Influencer
C100467,2025-06-03,Google Ads
C100468,2025-08-05,Influencer
C100469,2025-10-20,Influencer
C100470,2025-04-26,Meta Ads
C100471,2025-12-09,Google Ads
C100472,2025-03-28,Influencer
C100473,2025-07-13,Meta Ads
C100474,2025-04-25,Influencer
C100475,2024-10-04,Influencer
C100476,2025-10-25,Influencer
C100477,2024-11-09,Google Ads
C100478,2025-05-27,Organic
C100479,2025-08-26,Meta Ads
C100480,2025-02-24,Organic
C100481,2024-11-09,Organic
C100482,2025-12-18,Meta Ads
C100483,2024-12-05,Google Ads
C100484,2025-09-28,Google Ads
C100485,2024-11-19,Meta Ads
C100486,2025-06-29,Meta Ads
C100487,2025-03-31,Meta Ads
C100488,2025-07-05,Google Ads
C100489,2025-08-21,Google Ads
C100490,2025-07-18,Meta Ads
C100491,2026-01-11,Influencer
C100492,2025-06-16,Influencer
C100493,2025-11-22,Organic
C100494,2026-02-10,Google Ads
C100495,2025-10-02,Google Ads
C100496,2025-05-25,Meta Ads
C100497,2024-11-14,Meta Ads
C100498,2024-11-02,Google Ads
C100499,2025-07-11,Influencer
C100500,2025-02-13,Referral
C100501,2025-11-15,Google Ads
C100502,2025-07-12,Influencer
C100503,2025-12-16,Organic
C100504,2025-06-14,Google Ads
C100505,2024-11-21,Referral
C100506,2025-08-06,Meta Ads
C100507,2025-03-02,Meta Ads
C100508,2025-05-27,Google Ads
C100509,2025-02-03,Influencer
C100510,2025-06-30,Meta Ads
C100511,2025-02-10,Referral
C100512,2025-11-23,Meta Ads
C100513,2025-04-25,Meta Ads
C100514,2026-01-29,Meta Ads
C100515,2025-03-19,Referral
C100516,2025-04-14,Google Ads
C100517,2025-04-03,Meta Ads
C100518,2025-04-29,Meta Ads
C100519,2025-03-22,Organic
C100520,2025-12-26,Google Ads
C100521,2025-09-18,Influencer
C100522,2026-01-01,Meta Ads
C100523,2024-10-25,Google Ads
C100524,2024-12-20,Influencer
C100525,2025-09-13,Influencer
C100526,2025-10-02,Meta Ads
C100527,2025-10-22,Influencer
C100528,2025-03-13,Influencer
C100529,2025-01-25,Organic
C100530,2025-02-27,Google Ads
C100531,2025-10-27,Organic
C100532,2024-12-15,Google Ads
C100533,2025-10-05,Google Ads
C100534,2025-08-20,Organic
C100535,2025-06-18,Meta Ads
C100536,2025-01-27,Organic
C100537,2026-02-09,Influencer
C100538,2025-05-20,Meta Ads
C100539,2025-09-26,Influencer
C100540,2025-07-20,Influencer
C100541,2024-10-21,Meta Ads
C100542,2025-11-18,Organic
C100543,2024-10-10,Organic
C100544,2025-11-11,Google Ads
C100545,2025-05-31,Meta Ads
C100546,2025-02-12,Google Ads
C100547,2025-05-25,Organic
C100548,2025-09-14,Meta Ads
C100549,2025-04-20,Meta Ads
C100550,2024-11-20,Google Ads
C100551,2025-04-14,Google Ads
C100552,2026-02-03,Meta Ads
C100553,2025-04-25,Meta Ads
C100554,2024-10-24,Google Ads
C100555,2024-10-17,Referral
C100556,2025-03-07,Google Ads
C100557,2025-11-15,Meta Ads
C100558,2025-01-08,Referral
C100559,2025-09-21,Google Ads
C100560,2024-11-24,Google Ads
C100561,2025-10-14,Google Ads
C100562,2025-04-02,Meta Ads
C100563,2025-04-21,Google Ads
C100564,2025-06-01,Influencer
C100565,2025-03-21,Influencer
C100566,2024-12-31,Organic
C100567,2025-12-02,Influencer
C100568,2025-06-16,Meta Ads
C100569,2025-08-02,Meta Ads
C100570,2024-11-06,Meta Ads
C100571,2025-11-18,Google Ads
C100572,2025-01-31,Organic
C100573,2025-12-27,Organic
C100574,2025-10-30,Meta Ads
C100575,2025-08-29,Meta Ads
C100576,2025-04-09,Organic
C100577,2026-02-05,Meta Ads
C100578,2025-06-19,Google Ads
C100579,2025-12-12,Influencer
C100580,2025-04-16,Influencer
C100581,2026-01-21,Google Ads
C100582,2025-04-12,Influencer
C100583,2026-01-12,Meta Ads
C100584,2025-06-26,Influencer
C100585,2025-03-01,Meta Ads
C100586,2024-10-26,Organic
C100587,2025-07-17,Meta Ads
C100588,2025-11-18,Referral
C100589,2025-08-27,Meta Ads
C100590,2025-10-25,Meta Ads
C100591,2025-11-22,Google Ads
C100592,2025-08-16,Referral
C100593,2025-12-14,Meta Ads
C100594,2024-12-17,Meta Ads
C100595,2025-05-17,Meta Ads
C100596,2024-11-21,Organic
C100597,2025-03-10,Influencer
C100598,2024-10-12,Organic
C100599,2025-05-16,Google Ads
C100600,2025-11-03,Organic
C100601,2025-02-24,Meta Ads
C100602,2024-11-10,Influencer
C100603,2024-11-20,Organic
C100604,2025-11-19,Referral
C100605,2025-03-29,Referral
C100606,2025-01-29,Google Ads
C100607,2024-11-06,Meta Ads
C100608,2025-04-17,Referral
C100609,2026-02-03,Organic
C100610,2025-09-02,Organic
C100611,2025-04-20,Google Ads
C100612,2025-01-16,Google Ads
C100613,2025-04-01,Meta Ads
C100614,2025-03-22,Referral
C100615,2026-01-24,Organic
C100616,2025-09-14,Referral
C100617,2025-09-08,Organic
C100618,2025-09-15,Google Ads
C100619,2025-07-21,Meta Ads
C100620,2025-07-09,Google Ads
C100621,2025-11-29,Organic
C100622,2025-04-28,Meta Ads
C100623,2025-03-17,Organic
C100624,2025-05-20,Google Ads
C100625,2025-12-05,Influencer
C100626,2024-10-29,Google Ads
C100627,2025-08-31,Influencer
C100628,2025-01-15,Meta Ads
C100629,2024-12-17,Influencer
C100630,2025-09-24,Influencer
C100631,2025-04-24,Influencer
C100632,2025-08-21,Meta Ads
C100633,2025-09-01,Meta Ads
C100634,2025-03-19,Meta Ads
C100635,2025-02-08,Organic
C100636,2025-07-25,Organic
C100637,2025-09-07,Organic
C100638,2025-02-17,Organic
C100639,2025-12-27,Google Ads
C100640,2025-11-08,Influencer
C100641,2025-10-05,Influencer
C100642,2025-10-17,Meta Ads
C100643,2025-09-29,Google Ads
C100644,2025-05-09,Influencer
C100645,2024-12-23,Influencer
C100646,2025-01-29,Organic
C100647,2025-03-13,Meta Ads
C100648,2025-07-04,Meta Ads
C100649,2024-12-28,Organic
C100650,2025-09-19,Meta Ads
C100651,2025-12-02,Meta Ads
C100652,2025-01-26,Google Ads
C100653,2025-01-06,Google Ads
C100654,2024-11-13,Influencer
C100655,2025-06-17,Influencer
C100656,2025-06-12,Organic
C100657,2025-09-18,Meta Ads
C100658,2025-12-03,Meta Ads
C100659,2024-12-27,Meta Ads
C100660,2026-01-05,Meta Ads
C100661,2025-12-09,Influencer
C100662,2025-12-24,Referral
C100663,2025-09-01,Meta Ads
C100664,2025-11-06,Meta Ads
C100665,2025-08-25,Influencer
C100666,2024-12-12,Organic
C100667,2025-09-17,Google Ads
C100668,2025-09-25,Google Ads
C100669,2024-10-20,Meta Ads
C100670,2025-09-12,Meta Ads
C100671,2025-07-23,Organic
C100672,2025-05-29,Referral
C100673,2025-11-19,Influencer
C100674,2024-12-10,Google Ads
C100675,2025-05-09,Meta Ads
C100676,2025-03-23,Google Ads
C100677,2025-01-31,Meta Ads
C100678,2025-03-05,Meta Ads
C100679,2025-07-29,Meta Ads
C100680,2026-01-05,Organic
C100681,2025-07-19,Influencer
C100682,2025-01-03,Meta Ads
C100683,2026-01-07,Google Ads
C100684,2025-02-19,Google Ads
C100685,2025-11-23,Meta Ads
C100686,2024-11-04,Meta Ads
C100687,2024-12-16,Influencer
C100688,2025-09-03,Organic
C100689,2025-10-10,Influencer
C100690,2025-11-21,Referral
C100691,2025-04-06,Organic
C100692,2024-11-13,Google Ads
C100693,2025-09-16,Google Ads
C100694,2025-03-20,Meta Ads
C100695,2025-06-09,Influencer
C100696,2025-10-11,Influencer
C100697,2025-12-31,Meta Ads
C100698,2025-11-23,Google Ads
C100699,2025-02-06,Organic
C100700,2025-08-30,Google Ads
C100701,2025-01-20,Meta Ads
C100702,2024-12-28,Meta Ads
C100703,2025-11-04,Meta Ads
C100704,2025-05-28,Google Ads
C100705,2025-09-08,Influencer
C100706,2024-10-18,Meta Ads
C100707,2025-01-18,Google Ads
C100708,2025-09-12,Influencer
C100709,2025-12-11,Google Ads
C100710,2025-03-02,Influencer
C100711,2025-01-01,Meta Ads
C100712,2025-07-05,Meta Ads
C100713,2026-01-18,Meta Ads
C100714,2024-10-22,Organic
C100715,2024-11-10,Google Ads
C100716,2026-01-24,Referral
C100717,2024-10-10,Meta Ads
C100718,2025-03-19,Organic
C100719,2025-08-06,Google Ads
C100720,2025-12-26,Meta Ads
C100721,2025-09-18,Meta Ads
C100722,2025-02-02,Meta Ads
C100723,2025-01-08,Influencer
C100724,2024-12-04,Google Ads
C100725,2025-10-24,Meta Ads
C100726,2025-04-16,Influencer
C100727,2025-10-04,Meta Ads
C100728,2025-04-17,Google Ads
C100729,2025-04-06,Influencer
C100730,2025-12-14,Meta Ads
C100731,2025-02-02,Google Ads
C100732,2025-12-25,Google Ads
C100733,2025-12-20,Influencer
C100734,2025-09-03,Meta Ads
C100735,2025-11-17,Google Ads
C100736,2025-12-14,Meta Ads
C100737,2025-05-08,Google Ads
C100738,2024-11-09,Influencer
C100739,2025-01-15,Meta Ads
C100740,2024-10-16,Google Ads
C100741,2025-01-06,Google Ads
C100742,2025-03-22,Google Ads
C100743,2025-09-04,Influencer
C100744,2025-10-04,Meta Ads
C100745,2025-12-06,Organic
C100746,2025-05-14,Influencer
C100747,2025-08-08,Meta Ads
C100748,2025-11-29,Google Ads
C100749,2026-01-14,Organic
C100750,2024-10-25,Google Ads
C100751,2026-02-06,Organic
C100752,2025-01-24,Meta Ads
C100753,2024-11-17,Referral
C100754,2025-02-19,Influencer
C100755,2024-12-22,Meta Ads
C100756,2024-10-23,Meta Ads
C100757,2025-07-05,Meta Ads
C100758,2026-02-06,Meta Ads
C100759,2025-03-22,Organic
C100760,2025-11-01,Meta Ads
C100761,2025-02-05,Meta Ads
C100762,2025-12-17,Referral
C100763,2025-09-20,Google Ads
C100764,2025-11-10,Referral
C100765,2026-01-25,Influencer
C100766,2024-10-26,Influencer
C100767,2026-01-07,Google Ads
C100768,2026-01-14,Google Ads
C100769,2025-06-21,Organic
C100770,2025-08-06,Google Ads
C100771,2025-06-27,Referral
C100772,2026-01-15,Referral
C100773,2025-05-09,Organic
C100774,2025-10-08,Meta Ads
C100775,2025-10-24,Influencer
C100776,2024-11-07,Google Ads
C100777,2025-03-06,Meta Ads
C100778,2025-07-26,Meta Ads
C100779,2025-06-24,Meta Ads
C100780,2025-11-06,Meta Ads
C100781,2025-10-10,Organic
C100782,2025-02-02,Meta Ads
C100783,2025-11-22,Influencer
C100784,2025-11-09,Organic
C100785,2025-05-25,Influencer
C100786,2025-11-11,Meta Ads
C100787,2026-01-31,Google Ads
C100788,2025-10-11,Influencer
C100789,2024-11-12,Influencer
C100790,2025-02-14,Organic
C100791,2024-11-02,Organic
C100792,2024-12-30,Google Ads
C100793,2025-07-29,Influencer
C100794,2025-02-10,Organic
C100795,2024-10-06,Meta Ads
C100796,2025-06-19,Meta Ads
C100797,2025-09-27,Referral
C100798,2025-09-29,Influencer
C100799,2025-11-17,Google Ads
C100800,2025-12-21,Meta Ads
C100801,2025-08-21,Meta Ads
C100802,2025-04-03,Influencer
C100803,2025-04-12,Google Ads
C100804,2024-12-06,Google Ads
C100805,2024-10-23,Google Ads
C100806,2024-11-16,Meta Ads
C100807,2025-01-10,Referral
C100808,2025-12-17,Organic
C100809,2026-01-12,Organic
C100810,2025-02-06,Influencer
C100811,2025-02-09,Referral
C100812,2025-02-01,Google Ads
C100813,2025-05-17,Meta Ads
C100814,2026-01-24,Organic
C100815,2025-07-31,Organic
C100816,2025-05-16,Meta Ads
C100817,2025-05-12,Google Ads
C100818,2025-04-02,Google Ads
C100819,2025-06-17,Google Ads
C100820,2025-10-20,Influencer
C100821,2026-01-12,Organic
C100822,2025-06-05,Google Ads
C100823,2025-05-13,Meta Ads
C100824,2025-06-21,Referral
C100825,2025-05-18,Google Ads
C100826,2025-12-16,Meta Ads
C100827,2024-11-09,Organic
C100828,2025-08-26,Meta Ads
C100829,2025-09-15,Google Ads
C100830,2025-06-07,Organic
C100831,2025-10-23,Google Ads
C100832,2025-10-08,Meta Ads
C100833,2025-02-25,Influencer
C100834,2025-10-09,Meta Ads
C100835,2025-12-02,Organic
C100836,2025-05-25,Meta Ads
C100837,2025-11-08,Influencer
C100838,2025-11-26,Google Ads
C100839,2025-11-30,Influencer
C100840,2026-01-05,Influencer
