order_id,courier_partner,forward_shipping_cost,rto_shipping_cost,delivery_attempts
BB500206,SwiftLogix,91.0,0.0,1
BB500207,SwiftLogix,58.0,0.0,1
BB500208,BharatShip,101.0,0.0,1
BB500209,ZipEx,50.0,0.0,1
BB500210,SwiftLogix,73.0,0.0,1
BB500211,BharatShip,117.0,0.0,1
BB500212,SwiftLogix,56.0,0.0,1
BB500213,BharatShip,102.0,0.0,1
BB500214,SwiftLogix,85.0,0.0,1
BB500215,SwiftLogix,60.0,0.0,1
BB500216,SwiftLogix,93.0,0.0,2
BB500217,SwiftLogix,85.0,0.0,1
BB500218,SwiftLogix,71.0,0.0,1
BB500219,ZipEx,75.0,0.0,1
BB500220,BharatShip,89.0,0.0,1
BB500221,BharatShip,58.0,0.0,2
BB500222,SwiftLogix,59.0,0.0,1
BB500223,SwiftLogix,57.0,0.0,1
BB500224,SwiftLogix,69.0,0.0,1
BB500225,SwiftLogix,67.0,0.0,1
BB500226,SwiftLogix,67.0,0.0,1
BB500227,SwiftLogix,48.0,0.0,1
BB500228,BharatShip,110.0,0.0,1
BB500229,BharatShip,125.0,0.0,1
BB500230,ZipEx,129.0,200.0,3
BB500231,ZipEx,66.0,0.0,1
BB500232,BharatShip,71.0,0.0,1
BB500233,SwiftLogix,59.0,0.0,1
BB500234,SwiftLogix,75.0,116.0,2
BB500235,SwiftLogix,54.0,0.0,1
BB500236,SwiftLogix,61.0,95.0,2
BB500237,SwiftLogix,66.0,0.0,1
BB500238,ZipEx,66.0,0.0,1
BB500239,SwiftLogix,66.0,0.0,1
BB500240,SwiftLogix,96.0,0.0,1
BB500241,SwiftLogix,60.0,0.0,1
BB500242,ZipEx,76.0,0.0,1
BB500243,SwiftLogix,66.0,0.0,1
BB500244,BharatShip,127.0,0.0,1
BB500245,BharatShip,111.0,0.0,1
BB500246,BharatShip,85.0,0.0,1
BB500247,ZipEx,62.0,0.0,1
BB500248,BharatShip,115.0,0.0,1
BB500249,ZipEx,55.0,0.0,0
BB500250,BharatShip,91.0,0.0,1
BB500251,ZipEx,57.0,0.0,1
BB500252,BharatShip,76.0,0.0,1
BB500253,SwiftLogix,76.0,118.0,2
BB500254,SwiftLogix,69.0,0.0,1
BB500255,SwiftLogix,72.0,0.0,1
BB500256,ZipEx,76.0,0.0,1
BB500257,SwiftLogix,58.0,0.0,1
BB500258,SwiftLogix,66.0,0.0,1
BB500259,BharatShip,79.0,0.0,1
BB500260,SwiftLogix,113.0,0.0,1
BB500261,ZipEx,90.0,0.0,1
BB500262,SwiftLogix,58.0,0.0,1
BB500263,BharatShip,82.0,0.0,1
BB500264,SwiftLogix,93.0,0.0,1
BB500265,ZipEx,114.0,0.0,1
BB500266,ZipEx,74.0,0.0,1
BB500267,ZipEx,70.0,0.0,1
BB500268,SwiftLogix,98.0,0.0,1
BB500269,BharatShip,86.0,0.0,1
BB500270,SwiftLogix,93.0,0.0,1
BB500271,ZipEx,65.0,0.0,1
BB500272,ZipEx,105.0,0.0,2
BB500273,BharatShip,125.0,194.0,3
BB500274,SwiftLogix,69.0,0.0,1
BB500275,BharatShip,98.0,0.0,1
BB500276,SwiftLogix,86.0,0.0,1
BB500277,BharatShip,113.0,0.0,1
BB500278,SwiftLogix,55.0,0.0,0
BB500279,ZipEx,100.0,0.0,1
BB500280,ZipEx,60.0,0.0,1
BB500281,SwiftLogix,71.0,0.0,1
BB500282,SwiftLogix,81.0,0.0,2
BB500283,SwiftLogix,79.0,0.0,1
BB500284,SwiftLogix,64.0,0.0,1
BB500285,SwiftLogix,61.0,0.0,2
BB500286,BharatShip,107.0,0.0,1
BB500287,BharatShip,71.0,0.0,1
BB500288,ZipEx,71.0,0.0,1
BB500289,SwiftLogix,91.0,0.0,1
BB500290,SwiftLogix,84.0,0.0,1
BB500291,BharatShip,83.0,0.0,1
BB500292,SwiftLogix,64.0,0.0,1
BB500293,SwiftLogix,71.0,0.0,1
BB500294,SwiftLogix,68.0,0.0,1
BB500295,SwiftLogix,78.0,0.0,1
BB500296,BharatShip,94.0,0.0,1
BB500297,BharatShip,96.0,0.0,1
BB500298,ZipEx,72.0,0.0,1
BB500299,ZipEx,68.0,0.0,1
BB500300,ZipEx,115.0,0.0,1
BB500301,ZipEx,79.0,122.0,2
BB500302,ZipEx,70.0,0.0,1
BB500303,SwiftLogix,74.0,0.0,1
BB500304,SwiftLogix,61.0,0.0,1
BB500305,ZipEx,59.0,0.0,1
BB500306,BharatShip,115.0,0.0,1
BB500307,SwiftLogix,76.0,0.0,1
BB500308,SwiftLogix,55.0,0.0,0
BB500309,SwiftLogix,90.0,0.0,1
BB500310,SwiftLogix,58.0,0.0,1
BB500311,ZipEx,88.0,0.0,1
BB500312,SwiftLogix,54.0,0.0,1
BB500313,SwiftLogix,54.0,0.0,1
BB500314,ZipEx,54.0,0.0,1
BB500315,ZipEx,93.0,0.0,1
BB500316,SwiftLogix,68.0,0.0,1
BB500317,SwiftLogix,123.0,0.0,1
BB500318,SwiftLogix,66.0,0.0,1
BB500319,SwiftLogix,141.0,0.0,1
BB500320,SwiftLogix,65.0,0.0,1
BB500321,SwiftLogix,97.0,0.0,1
BB500322,SwiftLogix,72.0,112.0,2
BB500323,ZipEx,49.0,0.0,1
BB500324,SwiftLogix,81.0,0.0,1
BB500325,ZipEx,82.0,0.0,1
BB500326,SwiftLogix,73.0,0.0,1
BB500327,SwiftLogix,103.0,0.0,1
BB500328,BharatShip,88.0,0.0,1
BB500329,BharatShip,113.0,0.0,1
BB500330,SwiftLogix,63.0,0.0,1
BB500331,SwiftLogix,55.0,0.0,1
BB500332,ZipEx,83.0,129.0,2
BB500333,ZipEx,69.0,0.0,1
BB500334,BharatShip,103.0,0.0,1
BB500335,SwiftLogix,68.0,0.0,1
BB500336,SwiftLogix,55.0,0.0,1
BB500337,ZipEx,66.0,0.0,1
BB500338,SwiftLogix,65.0,0.0,1
BB500339,BharatShip,115.0,0.0,1
BB500340,BharatShip,78.0,0.0,1
BB500341,SwiftLogix,91.0,0.0,1
BB500342,BharatShip,68.0,0.0,2
BB500343,SwiftLogix,83.0,0.0,2
BB500344,SwiftLogix,56.0,0.0,1
BB500345,ZipEx,77.0,0.0,1
BB500346,SwiftLogix,57.0,0.0,1
BB500347,ZipEx,81.0,0.0,2
BB500348,ZipEx,65.0,0.0,1
BB500349,BharatShip,50.0,0.0,1
BB500350,ZipEx,63.0,0.0,1
BB500351,ZipEx,62.0,0.0,1
BB500352,BharatShip,129.0,200.0,2
BB500353,ZipEx,97.0,0.0,1
BB500354,SwiftLogix,55.0,0.0,1
BB500355,SwiftLogix,83.0,0.0,1
BB500356,BharatShip,83.0,0.0,1
BB500357,BharatShip,60.0,0.0,1
BB500358,BharatShip,120.0,0.0,1
BB500359,ZipEx,69.0,0.0,1
BB500360,BharatShip,93.0,0.0,1
BB500361,SwiftLogix,65.0,0.0,1
BB500362,SwiftLogix,52.0,0.0,1
BB500363,SwiftLogix,52.0,0.0,1
BB500364,SwiftLogix,78.0,0.0,1
BB500365,BharatShip,125.0,0.0,1
BB500366,BharatShip,86.0,0.0,1
BB500367,SwiftLogix,55.0,0.0,0
BB500368,BharatShip,150.0,0.0,2
BB500369,SwiftLogix,48.0,0.0,1
BB500370,SwiftLogix,96.0,0.0,1
BB500371,SwiftLogix,63.0,0.0,1
BB500372,ZipEx,80.0,0.0,2
BB500373,SwiftLogix,96.0,0.0,1
BB500374,SwiftLogix,69.0,0.0,1
BB500375,BharatShip,68.0,0.0,1
BB500376,BharatShip,68.0,0.0,1
BB500377,BharatShip,81.0,0.0,1
BB500378,BharatShip,73.0,113.0,2
BB500379,SwiftLogix,49.0,0.0,1
BB500380,SwiftLogix,99.0,0.0,1
BB500381,SwiftLogix,63.0,0.0,1
BB500382,SwiftLogix,57.0,0.0,1
BB500383,ZipEx,77.0,0.0,1
BB500384,BharatShip,89.0,0.0,1
BB500385,ZipEx,59.0,0.0,1
BB500386,SwiftLogix,56.0,0.0,1
BB500387,ZipEx,61.0,0.0,1
BB500388,BharatShip,80.0,0.0,1
BB500389,SwiftLogix,62.0,0.0,1
BB500390,ZipEx,136.0,0.0,1
BB500391,SwiftLogix,68.0,0.0,1
BB500392,BharatShip,83.0,0.0,1
BB500393,BharatShip,132.0,0.0,1
BB500394,SwiftLogix,103.0,0.0,1
BB500395,BharatShip,123.0,0.0,1
BB500396,BharatShip,66.0,0.0,1
BB500397,SwiftLogix,76.0,0.0,2
BB500398,ZipEx,75.0,0.0,1
BB500399,SwiftLogix,66.0,0.0,1
BB500400,SwiftLogix,51.0,0.0,1
BB500401,ZipEx,67.0,0.0,1
BB500402,SwiftLogix,111.0,0.0,1
BB500403,ZipEx,137.0,0.0,2
BB500404,SwiftLogix,66.0,0.0,1
BB500405,SwiftLogix,79.0,0.0,1
BB500406,SwiftLogix,86.0,0.0,1
BB500407,ZipEx,93.0,144.0,3
BB500408,SwiftLogix,53.0,0.0,1
BB500409,BharatShip,97.0,150.0,3
BB500410,ZipEx,115.0,0.0,1
BB500411,BharatShip,140.0,0.0,2
BB500412,ZipEx,101.0,0.0,1
BB500413,SwiftLogix,96.0,0.0,1
BB500414,SwiftLogix,78.0,0.0,2
BB500415,SwiftLogix,105.0,0.0,1
BB500416,ZipEx,57.0,0.0,1
BB500417,BharatShip,65.0,0.0,1
BB500418,SwiftLogix,96.0,0.0,1
BB500419,BharatShip,133.0,0.0,1
BB500420,SwiftLogix,62.0,0.0,1
BB500421,ZipEx,96.0,0.0,1
BB500422,BharatShip,76.0,0.0,1
BB500423,SwiftLogix,70.0,0.0,1
BB500424,SwiftLogix,83.0,0.0,2
BB500425,ZipEx,62.0,0.0,1
BB500426,BharatShip,52.0,0.0,1
BB500427,ZipEx,78.0,0.0,2
BB500428,ZipEx,71.0,0.0,1
BB500429,BharatShip,71.0,0.0,1
BB500430,BharatShip,117.0,0.0,1
BB500431,SwiftLogix,55.0,0.0,0
BB500432,BharatShip,106.0,0.0,1
BB500433,ZipEx,58.0,0.0,1
BB500434,SwiftLogix,63.0,0.0,1
BB500435,BharatShip,81.0,0.0,1
BB500436,ZipEx,75.0,0.0,1
BB500437,SwiftLogix,74.0,0.0,1
BB500438,ZipEx,63.0,0.0,1
BB500439,SwiftLogix,76.0,118.0,3
BB500440,BharatShip,64.0,99.0,2
BB500441,SwiftLogix,67.0,0.0,1
BB500442,ZipEx,55.0,0.0,0
BB500443,SwiftLogix,58.0,0.0,1
BB500444,SwiftLogix,57.0,0.0,1
BB500445,ZipEx,55.0,0.0,0
BB500446,ZipEx,57.0,0.0,1
BB500447,SwiftLogix,67.0,0.0,1
BB500448,SwiftLogix,77.0,0.0,1
BB500449,SwiftLogix,60.0,0.0,1
BB500450,ZipEx,54.0,0.0,2
BB500451,SwiftLogix,71.0,0.0,1
BB500452,ZipEx,83.0,0.0,1
BB500453,ZipEx,128.0,0.0,2
BB500454,ZipEx,95.0,0.0,1
BB500455,ZipEx,118.0,183.0,2
BB500456,ZipEx,104.0,0.0,1
BB500457,SwiftLogix,66.0,0.0,1
BB500458,BharatShip,112.0,0.0,2
BB500459,ZipEx,154.0,0.0,1
BB500460,SwiftLogix,64.0,0.0,2
BB500461,SwiftLogix,59.0,0.0,1
BB500462,BharatShip,85.0,0.0,1
BB500463,SwiftLogix,133.0,0.0,1
BB500464,BharatShip,90.0,0.0,1
BB500465,ZipEx,73.0,0.0,1
BB500466,BharatShip,104.0,0.0,1
BB500467,BharatShip,55.0,85.0,2
BB500468,ZipEx,52.0,0.0,1
BB500469,ZipEx,73.0,0.0,1
BB500470,ZipEx,84.0,0.0,1
BB500471,SwiftLogix,86.0,133.0,2
BB500472,SwiftLogix,68.0,0.0,1
BB500473,BharatShip,65.0,0.0,2
BB500474,SwiftLogix,52.0,0.0,1
BB500475,SwiftLogix,105.0,0.0,1
BB500476,BharatShip,65.0,101.0,3
BB500477,BharatShip,122.0,0.0,1
BB500478,SwiftLogix,58.0,0.0,1
BB500479,SwiftLogix,62.0,0.0,1
BB500480,BharatShip,81.0,0.0,1
BB500481,SwiftLogix,62.0,0.0,2
BB500482,SwiftLogix,69.0,0.0,2
BB500483,BharatShip,143.0,222.0,2
BB500484,BharatShip,120.0,0.0,1
BB500485,ZipEx,61.0,0.0,1
BB500486,SwiftLogix,75.0,0.0,1
BB500487,ZipEx,94.0,0.0,1
BB500488,BharatShip,107.0,0.0,1
BB500489,SwiftLogix,59.0,0.0,1
BB500490,SwiftLogix,76.0,0.0,1
BB500491,ZipEx,75.0,0.0,1
BB500492,BharatShip,128.0,0.0,1
BB500493,ZipEx,67.0,0.0,1
BB500494,SwiftLogix,54.0,0.0,1
BB500495,ZipEx,70.0,0.0,1
BB500496,BharatShip,104.0,161.0,3
BB500497,BharatShip,58.0,0.0,1
BB500498,ZipEx,72.0,0.0,1
BB500499,SwiftLogix,103.0,0.0,1
BB500500,SwiftLogix,92.0,143.0,3
BB500501,ZipEx,97.0,0.0,1
BB500502,ZipEx,56.0,0.0,1
BB500503,BharatShip,92.0,0.0,1
BB500504,SwiftLogix,82.0,0.0,2
BB500505,SwiftLogix,71.0,0.0,1
BB500506,SwiftLogix,74.0,0.0,2
BB500507,SwiftLogix,70.0,0.0,2
BB500508,ZipEx,67.0,104.0,3
BB500509,ZipEx,57.0,0.0,1
BB500510,SwiftLogix,64.0,0.0,2
BB500511,BharatShip,83.0,0.0,1
BB500512,ZipEx,87.0,0.0,1
BB500513,ZipEx,68.0,0.0,1
BB500514,SwiftLogix,46.0,0.0,1
BB500515,ZipEx,62.0,0.0,2
BB500516,BharatShip,62.0,0.0,1
BB500517,SwiftLogix,58.0,90.0,2
BB500518,SwiftLogix,67.0,0.0,1
BB500519,SwiftLogix,70.0,0.0,1
BB500520,ZipEx,87.0,135.0,3
BB500521,BharatShip,95.0,0.0,1
BB500522,BharatShip,126.0,0.0,1
BB500523,BharatShip,117.0,0.0,2
BB500524,BharatShip,115.0,0.0,1
BB500525,BharatShip,69.0,0.0,1
BB500526,SwiftLogix,68.0,0.0,2
BB500527,BharatShip,80.0,0.0,1
BB500528,BharatShip,109.0,0.0,1
BB500529,BharatShip,95.0,0.0,1
BB500530,BharatShip,144.0,0.0,1
BB500531,SwiftLogix,72.0,0.0,1
BB500532,SwiftLogix,52.0,0.0,1
BB500533,ZipEx,69.0,0.0,1
BB500534,SwiftLogix,71.0,0.0,2
BB500535,SwiftLogix,100.0,0.0,1
BB500536,SwiftLogix,71.0,0.0,1
BB500537,SwiftLogix,55.0,0.0,1
BB500538,SwiftLogix,62.0,0.0,1
BB500539,SwiftLogix,49.0,0.0,2
BB500540,ZipEx,63.0,0.0,1
BB500541,ZipEx,53.0,0.0,1
BB500542,BharatShip,95.0,0.0,1
BB500543,SwiftLogix,78.0,0.0,1
BB500544,SwiftLogix,51.0,0.0,2
BB500545,SwiftLogix,132.0,205.0,2
BB500546,BharatShip,98.0,0.0,1
BB500547,SwiftLogix,139.0,0.0,1
BB500548,SwiftLogix,101.0,157.0,2
BB500549,BharatShip,83.0,129.0,2
BB500550,ZipEx,100.0,0.0,1
BB500551,BharatShip,115.0,0.0,1
BB500552,SwiftLogix,75.0,0.0,1
BB500553,SwiftLogix,87.0,0.0,1
BB500554,SwiftLogix,61.0,0.0,1
BB500555,BharatShip,91.0,0.0,1
BB500556,BharatShip,101.0,0.0,1
BB500557,SwiftLogix,57.0,0.0,1
BB500558,SwiftLogix,71.0,0.0,1
BB500559,SwiftLogix,79.0,0.0,1
BB500560,SwiftLogix,56.0,0.0,1
BB500561,ZipEx,69.0,0.0,1
BB500562,BharatShip,67.0,0.0,2
BB500563,SwiftLogix,58.0,0.0,2
BB500564,BharatShip,120.0,0.0,1
BB500565,ZipEx,64.0,0.0,1
BB500566,ZipEx,67.0,0.0,1
BB500567,SwiftLogix,54.0,0.0,1
BB500568,BharatShip,85.0,0.0,1
BB500569,BharatShip,146.0,0.0,2
BB500570,ZipEx,122.0,0.0,1
BB500571,BharatShip,126.0,0.0,1
BB500572,ZipEx,56.0,0.0,1
BB500573,ZipEx,55.0,0.0,0
BB500574,SwiftLogix,56.0,0.0,1
BB500575,BharatShip,72.0,0.0,1
BB500576,BharatShip,83.0,0.0,1
BB500577,ZipEx,55.0,0.0,1
BB500578,SwiftLogix,66.0,0.0,1
BB500579,ZipEx,105.0,0.0,1
BB500580,SwiftLogix,65.0,101.0,2
BB500581,ZipEx,51.0,0.0,2
BB500582,SwiftLogix,55.0,0.0,0
BB500583,ZipEx,141.0,0.0,1
BB500584,SwiftLogix,49.0,0.0,2
BB500585,SwiftLogix,67.0,104.0,3
BB500586,SwiftLogix,72.0,0.0,1
BB500587,SwiftLogix,93.0,0.0,1
BB500588,ZipEx,93.0,0.0,2
BB500589,BharatShip,97.0,0.0,1
BB500590,SwiftLogix,59.0,0.0,1
BB500591,SwiftLogix,73.0,0.0,2
BB500592,BharatShip,54.0,0.0,2
BB500593,SwiftLogix,102.0,0.0,1
BB500594,BharatShip,70.0,0.0,1
BB500595,ZipEx,70.0,0.0,1
BB500596,BharatShip,47.0,0.0,1
BB500597,ZipEx,59.0,0.0,1
BB500598,SwiftLogix,66.0,0.0,1
BB500599,ZipEx,85.0,0.0,1
BB500600,BharatShip,72.0,0.0,2
BB500601,BharatShip,88.0,0.0,2
BB500602,SwiftLogix,96.0,0.0,2
BB500603,SwiftLogix,70.0,0.0,1
BB500604,ZipEx,54.0,0.0,1
BB500605,BharatShip,141.0,0.0,2
BB500606,BharatShip,75.0,0.0,1
BB500607,SwiftLogix,63.0,98.0,2
BB500608,BharatShip,173.0,0.0,1
BB500609,SwiftLogix,67.0,0.0,2
BB500610,SwiftLogix,50.0,0.0,1
BB500611,SwiftLogix,72.0,0.0,1
BB500612,SwiftLogix,53.0,0.0,1
BB500613,SwiftLogix,78.0,0.0,1
BB500614,SwiftLogix,80.0,124.0,3
BB500615,SwiftLogix,59.0,0.0,1
BB500616,BharatShip,72.0,0.0,1
BB500617,ZipEx,65.0,0.0,1
BB500618,BharatShip,94.0,0.0,1
BB500619,SwiftLogix,88.0,0.0,1
BB500620,BharatShip,56.0,0.0,1
BB500621,SwiftLogix,62.0,0.0,1
BB500622,BharatShip,91.0,0.0,1
BB500623,SwiftLogix,108.0,0.0,1
BB500624,SwiftLogix,50.0,0.0,1
BB500625,ZipEx,88.0,0.0,1
BB500626,SwiftLogix,66.0,0.0,2
BB500627,SwiftLogix,80.0,0.0,1
BB500628,SwiftLogix,78.0,0.0,1
BB500629,BharatShip,114.0,177.0,2
BB500630,SwiftLogix,84.0,0.0,1
BB500631,ZipEx,61.0,0.0,1
BB500632,BharatShip,87.0,0.0,2
BB500633,ZipEx,104.0,0.0,1
BB500634,ZipEx,59.0,0.0,1
