order_id,customer_id,order_date,pincode,category,payment_mode,gross_order_value,discount_amount,delivery_fee_charged,product_cost,order_status
BB536937,C115028,2026-03-17,110365.0,Baby Care,Prepaid,1355.0,173.0,0.0,836.0,Delivered
BB511123,C108906,2025-10-17,110169.0,Haircare,COD,754.0,110.0,0.0,362.0,RTO
BB529419,C102321,2026-01-30,110393.0,Household Staples,COD,426.0,17.0,49.0,350.0,Delivered
BB526107,C107469,2025-08-30,110190.0,Skincare,Prepaid,978.0,179.0,0.0,411.0,Delivered
BB505556,C101206,2026-01-13,110106.0,Haircare,COD,771.0,29.0,0.0,404.0,Delivered
BB539269,C114221,2026-02-19,110589.0,Home Cleaning,COD,181.0,32.0,49.0,128.0,Delivered
BB520536,C114004,2025-10-18,110645.0,Home Cleaning,COD,566.0,17.0,0.0,400.0,Delivered
BB506484,C106623,2025-08-19,110267.0,Home Cleaning,COD,363.0,55.0,49.0,261.0,Delivered
BB528996,C107326,2025-12-27,110071.0,Haircare,COD,526.0,35.0,49.0,276.0,Delivered
BB506436,C110839,2026-02-27,110106.0,Household Staples,Prepaid,608.0,23.0,0.0,506.0,Delivered
BB537278,C102324,2025-12-20,110421.0,Home Cleaning,COD,472.0,4.0,49.0,325.0,Delivered
BB514784,C105309,2026-01-03,110239.0,Baby Care,Prepaid,1692.0,54.0,0.0,1084.0,Delivered
BB537671,C115446,2026-01-27,110589.0,Household Staples,Prepaid,527.0,18.0,0.0,401.0,Delivered
BB518236,C101046,2025-06-03,110722.0,Household Staples,Prepaid,264.0,87.0,49.0,210.0,Delivered
BB529568,C112827,2025-06-09,110001.0,Haircare,Prepaid,761.0,168.0,0.0,410.0,Delivered
BB528568,C101087,2025-08-23,110113.0,Haircare,COD,855.0,46.0,0.0,491.0,Delivered
BB533662,C103429,2025-08-05,110596.0,Household Staples,COD,513.0,36.0,49.0,401.0,Delivered
BB535758,C106825,2025-09-09,110799.0,Haircare,Prepaid,944.0,95.0,0.0,497.0,Delivered
BB531156,C115576,2026-02-04,110337.0,Skincare,COD,513.0,42.0,49.0,235.0,RTO
BB535224,C107340,2025-10-30,110491.0,Home Cleaning,COD,433.0,27.0,49.0,338.0,Delivered
BB523905,C103010,2025-11-28,110134.0,Home Cleaning,Prepaid,323.0,96.0,49.0,241.0,Delivered
BB529655,C107809,2025-12-22,110008.0,Household Staples,COD,533.0,71.0,49.0,440.0,Cancelled
BB533277,C108713,2025-04-01,110134.0,Home Cleaning,Prepaid,371.0,41.0,49.0,273.0,Delivered
BB534883,C102735,2025-09-18,110274.0,Home Cleaning,Prepaid,533.0,34.0,0.0,372.0,Delivered
BB513673,C112046,2025-08-10,110757.0,Haircare,COD,649.0,97.0,0.0,339.0,Delivered
BB501884,C103707,2026-01-01,110645.0,Household Staples,COD,515.0,114.0,49.0,407.0,RTO
BB504484,C104511,2026-01-13,110274.0,Household Staples,COD,246.0,18.0,49.0,209.0,Delivered
BB531938,C108123,2026-01-08,110750.0,Household Staples,COD,422.0,52.0,49.0,343.0,Delivered
BB517647,C105379,2025-12-11,110407.0,Baby Care,Prepaid,1145.0,33.0,0.0,665.0,Delivered
BB504989,C107574,2025-06-04,110491.0,Home Cleaning,COD,798.0,95.0,0.0,593.0,RTO
BB507689,C114477,2025-06-25,110379.0,Household Staples,COD,714.0,17.0,0.0,573.0,Delivered
BB523828,C110919,2025-08-12,110169.0,Haircare,Prepaid,441.0,12.0,49.0,203.0,Delivered
BB529740,C105077,2025-12-23,110050.0,Haircare,Prepaid,1139.0,288.0,0.0,560.0,Delivered
BB523337,C110927,2025-08-25,110316.0,Haircare,COD,641.0,141.0,0.0,284.0,Delivered
BB502256,C101316,2025-07-03,110841.0,Home Cleaning,COD,602.0,138.0,49.0,441.0,Delivered
BB531041,C115351,2026-01-15,110155.0,Household Staples,Prepaid,229.0,36.0,49.0,197.0,Delivered
BB503902,C109027,2026-02-11,110673.0,Haircare,COD,401.0,53.0,49.0,186.0,Delivered
BB509715,C115782,2025-11-16,110435.0,Home Cleaning,COD,573.0,46.0,0.0,384.0,Delivered
BB525188,C112985,2025-06-29,110505.0,Household Staples,COD,381.0,27.0,49.0,331.0,Delivered
BB515748,C108596,2025-11-17,110463.0,Skincare,COD,1322.0,135.0,0.0,578.0,Delivered
BB526571,C109960,2026-02-25,110330.0,Baby Care,Prepaid,755.0,159.0,0.0,454.0,Delivered
BB539784,C100109,2025-09-18,110652.0,Home Cleaning,Prepaid,667.0,64.0,0.0,519.0,Delivered
BB539728,C100754,2025-04-01,110575.0,Household Staples,COD,305.0,9.0,49.0,260.0,Delivered
BB517620,C106264,2025-05-07,110071.0,Baby Care,COD,796.0,115.0,0.0,472.0,Delivered
BB519697,C112279,2025-09-09,110120.0,Household Staples,COD,437.0,80.0,49.0,369.0,Delivered
BB539869,C108024,2026-03-14,110617.0,Baby Care,Prepaid,1019.0,200.0,0.0,650.0,Delivered
BB506353,C101512,2025-05-14,110393.0,Haircare,Prepaid,1021.0,143.0,0.0,448.0,Delivered
BB520017,C114976,2026-01-01,110169.0,Home Cleaning,COD,663.0,237.0,49.0,463.0,Delivered
BB506860,C104779,2025-04-22,110841.0,Home Cleaning,COD,458.0,12.0,49.0,334.0,Delivered
BB536688,C113660,2025-10-15,110043.0,Skincare,Prepaid,570.0,25.0,0.0,260.0,Delivered
BB516573,C101069,2025-11-15,110050.0,Haircare,COD,510.0,60.0,49.0,271.0,Delivered
BB528497,C108132,2025-12-27,110281.0,Household Staples,Prepaid,465.0,60.0,49.0,391.0,Delivered
BB537229,C103790,2025-12-17,110799.0,Household Staples,COD,233.0,25.0,49.0,198.0,Delivered
BB514099,C108723,2025-12-14,110309.0,Home Cleaning,Prepaid,607.0,96.0,0.0,419.0,Delivered
BB524540,C103691,2026-02-28,110561.0,Home Cleaning,COD,792.0,63.0,0.0,578.0,Cancelled
BB520267,C101372,2025-06-06,110547.0,Household Staples,COD,601.0,67.0,0.0,506.0,Delivered
BB517662,C104659,2026-01-30,110638.0,Household Staples,COD,434.0,14.0,49.0,374.0,Delivered
BB529903,C115730,2026-03-06,110456.0,Haircare,COD,603.0,127.0,49.0,296.0,Delivered
BB521683,C102452,2025-06-28,,Home Cleaning,COD,594.0,34.0,0.0,434.0,Delivered
BB513764,C102224,2025-04-29,110386.0,Skincare,COD,885.0,75.0,0.0,426.0,Delivered
BB532770,C104615,2025-09-18,110638.0,Haircare,Prepaid,669.0,61.0,0.0,366.0,Delivered
BB522151,C115129,2025-04-01,110505.0,Household Staples,COD,204.0,13.0,49.0,166.0,RTO
BB531861,C108057,2025-11-01,110365.0,Household Staples,Prepaid,468.0,33.0,49.0,392.0,Delivered
BB514210,C107735,2026-03-31,110519.0,Skincare,COD,934.0,155.0,0.0,436.0,Delivered
BB523471,C107842,2025-12-10,110568.0,Household Staples,COD,471.0,33.0,49.0,357.0,Delivered
BB536752,C115272,2025-10-25,110400.0,Home Cleaning,Prepaid,744.0,122.0,0.0,530.0,Delivered
BB521029,C113376,2026-02-06,110477.0,Household Staples,Prepaid,487.0,38.0,49.0,412.0,Delivered
BB528706,C106723,2026-03-12,110806.0,Skincare,COD,685.0,76.0,0.0,264.0,RTO
BB502406,C102080,2025-06-18,110736.0,Haircare,COD,751.0,148.0,0.0,400.0,Delivered
BB502972,C101053,2025-05-25,110008.0,Haircare,Prepaid,1012.0,55.0,0.0,514.0,Delivered
BB539449,C112712,2025-11-28,110008.0,Haircare,COD,503.0,63.0,49.0,268.0,Delivered
BB529773,C113905,2025-11-27,110281.0,Home Cleaning,Prepaid,629.0,60.0,0.0,480.0,Delivered
BB533249,C102284,2026-01-31,110323.0,Haircare,Prepaid,617.0,27.0,0.0,338.0,Delivered
BB501596,C106418,2025-12-30,110764.0,Skincare,COD,938.0,138.0,0.0,427.0,Delivered
BB532324,C114060,2026-03-22,110351.0,Household Staples,Prepaid,383.0,118.0,49.0,295.0,Delivered
BB508450,C100701,2025-11-21,110078.0,Home Cleaning,COD,446.0,12.0,49.0,346.0,Delivered
BB519295,C100061,2025-12-30,110169.0,Haircare,Prepaid,439.0,39.0,49.0,254.0,Delivered
BB529496,C114728,2025-06-01,110764.0,Baby Care,COD,787.0,118.0,0.0,472.0,RTO
BB530812,C101719,2026-01-02,110421.0,Household Staples,COD,737.0,24.0,0.0,613.0,Delivered
BB531964,C102041,2026-02-17,110568.0,Haircare,Prepaid,684.0,49.0,0.0,378.0,Delivered
BB539028,C104152,2025-11-28,110323.0,Skincare,Prepaid,778.0,84.0,0.0,387.0,Delivered
BB526825,C110263,2025-10-13,110071.0,Baby Care,COD,1028.0,241.0,0.0,657.0,Delivered
BB531726,C105285,2025-12-04,110036.0,Baby Care,COD,873.0,61.0,0.0,564.0,Delivered
BB500961,C107506,2025-12-17,110512.0,Baby Care,COD,946.0,73.0,0.0,623.0,Delivered
BB505330,C105103,2025-08-08,110218.0,Home Cleaning,Prepaid,475.0,98.0,49.0,364.0,Delivered
BB524441,C110700,2026-03-10,110771.0,Skincare,COD,902.0,43.0,0.0,441.0,Delivered
BB501727,C101790,2025-12-04,110288.0,Haircare,Prepaid,901.0,187.0,0.0,547.0,Delivered
BB534774,C102345,2025-10-20,110239.0,Baby Care,Prepaid,731.0,33.0,0.0,462.0,Delivered
BB535828,C114384,2025-07-09,110554.0,Skincare,COD,807.0,69.0,0.0,383.0,Delivered
BB538053,C106744,2025-10-24,110337.0,Baby Care,Prepaid,847.0,80.0,0.0,524.0,Delivered
BB518399,C111479,2026-03-05,110372.0,Skincare,Prepaid,1121.0,295.0,0.0,485.0,Delivered
BB538726,C109309,2025-12-12,110337.0,Haircare,COD,364.0,26.0,49.0,162.0,Delivered
BB522680,C110575,2026-01-22,110659.0,Baby Care,COD,659.0,97.0,0.0,405.0,Delivered
BB539394,C106377,2025-07-25,110050.0,Household Staples,COD,435.0,54.0,49.0,364.0,Delivered
BB537492,C104013,2026-01-22,110127.0,Household Staples,COD,443.0,172.0,49.0,385.0,Delivered
BB516001,C104348,2025-11-08,110099.0,Baby Care,Prepaid,1742.0,221.0,0.0,1083.0,Delivered
BB530888,C108283,2026-01-02,110491.0,Household Staples,COD,857.0,133.0,0.0,717.0,RTO
BB529171,C111553,2025-09-10,110071.0,Home Cleaning,Prepaid,472.0,109.0,49.0,348.0,Delivered
BB520667,C105531,2025-09-09,110547.0,Haircare,Prepaid,431.0,43.0,49.0,234.0,Delivered
BB500331,C103498,2025-08-25,110253.0,Skincare,Prepaid,746.0,47.0,0.0,325.0,Delivered
BB525060,C101214,2025-11-01,110337.0,Skincare,Prepaid,1293.0,300.0,0.0,572.0,Cancelled
BB530193,C103451,2025-05-21,110470.0,Skincare,COD,1416.0,183.0,0.0,668.0,RTO
BB516903,C106214,2025-08-31,110141.0,Skincare,COD,859.0,69.0,0.0,440.0,RTO
BB504558,C113818,2025-09-05,110547.0,Haircare,Prepaid,678.0,44.0,0.0,357.0,Delivered
BB500347,C107966,2025-10-07,110582.0,Skincare,COD,312.0,73.0,49.0,156.0,Delivered
BB526376,C101480,2025-12-16,110778.0,Skincare,COD,577.0,80.0,49.0,256.0,Delivered
BB533914,C109409,2025-12-31,110008.0,Household Staples,COD,435.0,83.0,49.0,380.0,Delivered
BB533785,C103265,2025-04-03,110589.0,Skincare,COD,208.0,17.0,49.0,101.0,Delivered
BB501581,C101093,2025-10-08,110421.0,Skincare,COD,473.0,95.0,49.0,188.0,Delivered
BB523642,C115199,2025-09-27,110253.0,Household Staples,COD,730.0,26.0,0.0,568.0,Delivered
BB509087,C101078,2025-11-12,110302.0,Home Cleaning,Prepaid,536.0,100.0,49.0,374.0,Delivered
BB505874,C109007,2025-07-23,110435.0,Home Cleaning,COD,700.0,70.0,0.0,485.0,Delivered
BB538321,C111178,2025-10-13,110519.0,Baby Care,COD,455.0,44.0,49.0,283.0,Delivered
BB524937,C102693,2026-01-31,110246.0,Skincare,Prepaid,685.0,174.0,0.0,297.0,Delivered
BB528285,C100395,2026-01-28,110218.0,Haircare,Prepaid,508.0,114.0,49.0,289.0,Delivered
BB527048,C108671,2025-06-08,110043.0,Haircare,COD,625.0,193.0,49.0,336.0,Delivered
BB522825,C114208,2026-03-02,110162.0,Baby Care,Prepaid,1484.0,85.0,0.0,942.0,Delivered
BB537906,C104226,2026-01-12,110393.0,Haircare,Prepaid,451.0,9.0,49.0,227.0,Delivered
BB502339,C102303,2026-03-21,110351.0,Baby Care,COD,1011.0,46.0,0.0,608.0,Delivered
BB533326,C113410,2025-06-08,110827.0,Haircare,COD,224.0,6.0,49.0,114.0,Delivered
BB517223,C114632,2025-04-27,110617.0,Household Staples,COD,344.0,19.0,49.0,275.0,RTO
BB505429,C112594,2025-10-17,110330.0,Household Staples,COD,389.0,24.0,49.0,339.0,Delivered
BB517814,C110033,2025-05-23,110316.0,Skincare,COD,671.0,44.0,0.0,282.0,Delivered
BB503529,C107409,2025-08-25,110610.0,Haircare,COD,583.0,36.0,0.0,315.0,Delivered
BB528661,C101438,2025-09-01,110638.0,Home Cleaning,Prepaid,577.0,89.0,49.0,397.0,Delivered
BB535272,C106697,2026-02-25,110792.0,Haircare,COD,302.0,13.0,49.0,160.0,Delivered
BB532978,C115584,2025-07-10,110008.0,Baby Care,Prepaid,1009.0,248.0,0.0,674.0,Delivered
BB515610,C115408,2025-12-31,110547.0,Baby Care,COD,549.0,31.0,0.0,330.0,Delivered
BB534275,C106429,2025-09-29,110708.0,Baby Care,COD,987.0,221.0,0.0,627.0,Delivered
BB516109,C115002,2025-08-25,110253.0,Haircare,Prepaid,591.0,38.0,0.0,345.0,Delivered
BB537476,C112596,2025-11-12,110449.0,Skincare,COD,1212.0,25.0,0.0,590.0,RTO
BB506816,C101420,2025-08-14,110428.0,Household Staples,Prepaid,692.0,20.0,0.0,576.0,Delivered
BB502528,C104998,2026-02-12,110477.0,Home Cleaning,COD,932.0,43.0,0.0,689.0,Delivered
BB529770,C101119,2025-06-20,110519.0,Home Cleaning,Prepaid,438.0,78.0,49.0,311.0,Delivered
BB518617,C110759,2025-12-15,110323.0,Household Staples,COD,316.0,29.0,49.0,258.0,Delivered
BB525217,C103933,2025-08-03,110134.0,Haircare,COD,321.0,39.0,49.0,181.0,Delivered
BB515456,C114866,2025-07-08,110715.0,Haircare,COD,938.0,128.0,0.0,465.0,Delivered
BB506686,C107120,2025-12-18,110400.0,Home Cleaning,Prepaid,960.0,69.0,0.0,734.0,Delivered
BB532244,C108912,2025-04-26,110624.0,Home Cleaning,COD,1018.0,64.0,0.0,717.0,Delivered
BB502080,C107254,2025-07-19,110785.0,Baby Care,COD,574.0,2.0,0.0,370.0,Delivered
BB524914,C102768,2025-04-10,110309.0,Home Cleaning,COD,297.0,45.0,49.0,236.0,Delivered
BB512397,C110524,2026-03-01,110092.0,Skincare,COD,377.0,22.0,49.0,186.0,Delivered
BB500511,C112745,2025-12-12,110505.0,Home Cleaning,Prepaid,634.0,43.0,0.0,451.0,Delivered
BB520691,C106265,2025-11-12,110806.0,Home Cleaning,COD,174.0,45.0,49.0,129.0,Delivered
BB526427,C102164,2025-10-11,110736.0,Haircare,COD,1019.0,83.0,0.0,524.0,Delivered
BB523341,C108791,2026-02-16,110470.0,Skincare,COD,872.0,218.0,0.0,320.0,Delivered
BB500780,C108320,2026-01-06,110155.0,Haircare,COD,418.0,55.0,49.0,216.0,Delivered
BB526928,C104463,2025-07-22,110491.0,Baby Care,COD,768.0,77.0,0.0,489.0,RTO
BB537632,C105750,2025-11-14,110785.0,Haircare,COD,938.0,126.0,0.0,519.0,RTO
BB514218,C102367,2026-01-25,110680.0,Skincare,COD,561.0,106.0,49.0,280.0,Delivered
BB500378,C113567,2025-10-31,110267.0,Home Cleaning,COD,642.0,15.0,0.0,479.0,RTO
BB510450,C107378,2025-08-04,110477.0,Household Staples,Prepaid,526.0,73.0,49.0,439.0,Delivered
BB528977,C105698,2025-11-22,110309.0,Home Cleaning,COD,655.0,184.0,49.0,451.0,Delivered
BB515976,C101661,2025-10-17,110750.0,Baby Care,COD,1070.0,106.0,0.0,715.0,Delivered
BB522255,C112067,2025-06-06,110463.0,Baby Care,COD,1287.0,402.0,0.0,911.0,Delivered
BB514293,C108409,2025-12-06,110820.0,Skincare,COD,1002.0,259.0,0.0,458.0,Delivered
BB507117,C111325,2025-11-09,110120.0,Haircare,COD,149.0,19.0,49.0,77.0,Delivered
BB534557,C108307,2025-11-17,110281.0,Household Staples,COD,516.0,7.0,0.0,423.0,Delivered
BB510404,C105237,2025-05-29,110708.0,Baby Care,COD,1101.0,64.0,0.0,635.0,Delivered
BB502161,C115918,2026-03-09,110386.0,Haircare,COD,583.0,73.0,0.0,301.0,Delivered
BB537025,C109262,2025-06-16,110582.0,Skincare,Prepaid,1003.0,16.0,0.0,432.0,Delivered
BB539102,C112671,2026-02-14,110505.0,Baby Care,Prepaid,663.0,113.0,0.0,398.0,Delivered
BB517249,C113765,2025-04-13,110057.0,Baby Care,Prepaid,1170.0,49.0,0.0,683.0,Delivered
BB512347,C105028,2025-11-07,110701.0,Haircare,COD,271.0,21.0,49.0,150.0,RTO
BB513551,C108799,2026-02-19,110239.0,Baby Care,Prepaid,678.0,30.0,0.0,463.0,Delivered
BB515516,C110822,2025-11-18,110456.0,Household Staples,COD,281.0,23.0,49.0,215.0,Delivered
BB503356,C110899,2025-04-02,110127.0,Haircare,Prepaid,713.0,59.0,0.0,384.0,Cancelled
BB528974,C111894,2026-02-12,110673.0,Haircare,Prepaid,825.0,160.0,0.0,442.0,Delivered
BB509333,C112893,2025-07-10,110617.0,Skincare,COD,749.0,86.0,0.0,349.0,Delivered
BB529014,C101244,2025-11-18,110519.0,Household Staples,COD,347.0,63.0,49.0,262.0,RTO
BB508240,C102125,2025-08-13,110330.0,Home Cleaning,Prepaid,723.0,120.0,0.0,552.0,Delivered
BB511769,C106383,2025-10-01,110008.0,Skincare,Prepaid,653.0,82.0,0.0,307.0,Delivered
BB528296,C112715,2025-04-28,110015.0,Haircare,Prepaid,921.0,148.0,0.0,486.0,Delivered
BB539308,C106123,2026-01-29,110645.0,Skincare,COD,926.0,48.0,0.0,399.0,Delivered
BB506031,C107997,2026-02-18,110176.0,Home Cleaning,Prepaid,678.0,150.0,0.0,555.0,Delivered
BB519355,C101367,2026-01-29,110631.0,Haircare,Prepaid,454.0,42.0,49.0,235.0,Delivered
BB539789,C114102,2026-02-20,110778.0,Household Staples,COD,434.0,47.0,49.0,355.0,Delivered
BB532869,C112852,2025-04-17,110771.0,Haircare,COD,727.0,128.0,0.0,362.0,Delivered
BB520728,C115731,2025-08-02,110288.0,Haircare,Prepaid,896.0,161.0,0.0,488.0,Delivered
BB529507,C113508,2025-06-22,110694.0,Home Cleaning,Prepaid,532.0,107.0,49.0,418.0,RTO
BB520714,C107352,2025-06-14,110554.0,Haircare,COD,287.0,37.0,49.0,155.0,Delivered
BB523426,C107852,2025-10-15,110428.0,Skincare,COD,974.0,26.0,0.0,458.0,Delivered
BB507567,C113119,2025-05-25,110092.0,Household Staples,Prepaid,149.0,23.0,49.0,132.0,Delivered
BB520181,C100476,2026-01-08,110232.0,Home Cleaning,Prepaid,227.0,37.0,49.0,165.0,Delivered
BB507115,C107544,2026-03-09,110148.0,Skincare,COD,783.0,17.0,0.0,376.0,Delivered
