order_id,order_date,customer_id,city,state,zone,pincode,category,payment_mode,courier_partner,acquisition_channel,order_status,gross_order_value,discount_amount,delivery_fee_charged,product_cost,forward_shipping_cost,rto_shipping_cost,net_order_value,net_revenue,delivery_revenue,cogs_effective,shipping_cost,payment_cost,contribution_margin,is_loss,value_band
BB525735,2025-06-19,C115603,Lucknow,Uttar Pradesh,Tier2,110547,Skincare,COD,ZipEx,Meta Ads,Delivered,896.0,96.0,0.0,386.0,88.0,0.0,800.0,800.0,0.0,386.0,88.0,25.0,301.0,False,700-999
BB526011,2025-11-03,C105737,Jaipur,Rajasthan,Tier2,110498,Skincare,COD,SwiftLogix,Google Ads,Delivered,539.0,110.0,49.0,258.0,94.0,0.0,429.0,429.0,49.0,258.0,94.0,25.0,101.0,False,300-499
BB508971,2025-12-30,C115088,Delhi,Delhi,Metro,110218,Home Cleaning,Prepaid,SwiftLogix,Meta Ads,Delivered,221.0,12.0,49.0,154.0,75.0,0.0,209.0,209.0,49.0,154.0,75.0,5.16,23.84,False,Under 300
BB531628,2025-12-21,C101158,Delhi,Delhi,Metro,110274,Home Cleaning,COD,SwiftLogix,Influencer,Delivered,452.0,66.0,49.0,318.0,79.0,0.0,386.0,386.0,49.0,318.0,79.0,25.0,13.0,False,300-499
BB502549,2025-07-09,C112552,Bengaluru,Karnataka,Metro,110022,Home Cleaning,COD,BharatShip,Google Ads,Delivered,524.0,92.0,49.0,344.0,60.0,0.0,432.0,432.0,49.0,344.0,60.0,25.0,52.0,False,300-499
BB529516,2025-09-19,C109794,Hyderabad,Telangana,Metro,110288,Home Cleaning,Prepaid,ZipEx,Referral,RTO,149.0,20.0,49.0,106.0,71.0,110.0,129.0,0.0,0.0,15.899999999999999,181.0,0.0,-196.9,True,Under 300
BB505695,2025-07-13,C114928,Lucknow,Uttar Pradesh,Tier2,110526,Home Cleaning,Prepaid,SwiftLogix,Influencer,Delivered,467.0,111.0,49.0,356.0,97.0,0.0,356.0,356.0,49.0,356.0,97.0,8.1,-56.1,True,300-499
BB518144,2025-06-09,C107443,Mumbai,Maharashtra,Metro,110169,Home Cleaning,Prepaid,SwiftLogix,Meta Ads,Delivered,149.0,37.0,49.0,108.0,66.0,0.0,112.0,112.0,49.0,108.0,66.0,3.22,-16.22,True,Under 300
BB501289,2025-10-30,C107532,Pune,Maharashtra,Tier2,110435,Skincare,COD,ZipEx,Influencer,Delivered,705.0,42.0,0.0,300.0,95.0,0.0,663.0,663.0,0.0,300.0,95.0,25.0,243.0,False,500-699
BB502854,2025-08-25,C105606,Bengaluru,Karnataka,Metro,110078,Skincare,Prepaid,ZipEx,Referral,Delivered,976.0,94.0,0.0,394.0,58.0,0.0,882.0,882.0,0.0,394.0,58.0,17.64,412.36,False,700-999
BB510322,2026-01-12,C104823,Siliguri,West Bengal,Tier3,110764,Home Cleaning,COD,BharatShip,Google Ads,Delivered,276.0,19.0,49.0,203.0,110.0,0.0,257.0,257.0,49.0,203.0,110.0,25.0,-32.0,True,Under 300
BB529865,2025-11-15,C103771,Kochi,Kerala,Tier2,110575,Home Cleaning,COD,BharatShip,Google Ads,Delivered,383.0,13.0,49.0,260.0,108.0,0.0,370.0,370.0,49.0,260.0,108.0,25.0,26.0,False,300-499
BB527567,2026-01-27,C101291,Bengaluru,Karnataka,Metro,110001,Skincare,COD,SwiftLogix,Meta Ads,Delivered,707.0,103.0,0.0,327.0,71.0,0.0,604.0,604.0,0.0,327.0,71.0,25.0,181.0,False,500-699
BB538026,2025-08-16,C101473,Mumbai,Maharashtra,Metro,110148,Skincare,Prepaid,ZipEx,Google Ads,Delivered,575.0,95.0,49.0,255.0,58.0,0.0,480.0,480.0,49.0,255.0,58.0,10.58,205.42,False,300-499
BB514669,2025-06-23,C100081,Jaipur,Rajasthan,Tier2,110477,Household Staples,Prepaid,BharatShip,Organic,Delivered,269.0,14.0,49.0,231.0,77.0,0.0,255.0,255.0,49.0,231.0,77.0,6.08,-10.08,True,Under 300
BB517368,2025-11-16,C102429,Pune,Maharashtra,Tier2,110428,Home Cleaning,COD,SwiftLogix,Influencer,Delivered,717.0,109.0,0.0,510.0,77.0,0.0,608.0,608.0,0.0,510.0,77.0,25.0,-4.0,True,500-699
BB510173,2026-03-14,C109263,Chennai,Tamil Nadu,Metro,110351,Household Staples,COD,SwiftLogix,Meta Ads,Delivered,572.0,160.0,49.0,478.0,58.0,0.0,412.0,412.0,49.0,478.0,58.0,25.0,-100.0,True,300-499
BB528771,2025-07-23,C112719,Bengaluru,Karnataka,Metro,110064,Household Staples,COD,SwiftLogix,Organic,Delivered,245.0,29.0,49.0,200.0,55.0,0.0,216.0,216.0,49.0,200.0,55.0,25.0,-15.0,True,Under 300
BB527942,2025-07-08,C111607,Chennai,Tamil Nadu,Metro,110351,Skincare,COD,ZipEx,Meta Ads,Delivered,994.0,69.0,0.0,532.0,68.0,0.0,925.0,925.0,0.0,532.0,68.0,25.0,300.0,False,700-999
BB525745,2025-11-25,C107229,Hyderabad,Telangana,Metro,110337,Household Staples,COD,ZipEx,Meta Ads,Delivered,417.0,65.0,49.0,352.0,65.0,0.0,352.0,352.0,49.0,352.0,65.0,25.0,-41.0,True,300-499
BB526267,2025-12-03,C113383,Mumbai,Maharashtra,Metro,110134,Baby Care,COD,ZipEx,Meta Ads,Delivered,1055.0,185.0,0.0,674.0,60.0,0.0,870.0,870.0,0.0,674.0,60.0,25.0,111.0,False,700-999
BB515195,2025-10-24,C115177,Lucknow,Uttar Pradesh,Tier2,110561,Home Cleaning,COD,SwiftLogix,Meta Ads,Delivered,487.0,61.0,49.0,369.0,86.0,0.0,426.0,426.0,49.0,369.0,86.0,25.0,-5.0,True,300-499
BB514537,2025-07-15,C109124,Indore,Madhya Pradesh,Tier2,110638,Household Staples,COD,BharatShip,Influencer,Delivered,385.0,47.0,49.0,292.0,95.0,0.0,338.0,338.0,49.0,292.0,95.0,25.0,-25.0,True,300-499
BB528982,2025-09-17,C109287,Bhagalpur,Bihar,Tier3,110841,Home Cleaning,COD,BharatShip,Influencer,Delivered,818.0,31.0,0.0,545.0,89.0,0.0,787.0,787.0,0.0,545.0,89.0,25.0,128.0,False,700-999
BB514635,2025-09-04,C100485,Jaipur,Rajasthan,Tier2,110498,Haircare,Prepaid,BharatShip,Meta Ads,Delivered,440.0,57.0,49.0,225.0,95.0,0.0,383.0,383.0,49.0,225.0,95.0,8.64,103.36,False,300-499
BB517383,2026-02-11,C103659,Delhi,Delhi,Metro,110225,Household Staples,Prepaid,SwiftLogix,Meta Ads,Delivered,243.0,27.0,49.0,189.0,52.0,0.0,216.0,216.0,49.0,189.0,52.0,5.3,18.7,False,Under 300
BB527107,2026-03-20,C103783,Jaipur,Rajasthan,Tier2,110505,Household Staples,COD,BharatShip,Google Ads,Delivered,587.0,13.0,0.0,489.0,116.0,0.0,574.0,574.0,0.0,489.0,116.0,25.0,-56.0,True,500-699
BB532291,2025-09-20,C111508,Chennai,Tamil Nadu,Metro,110407,Haircare,COD,BharatShip,Organic,Delivered,793.0,142.0,0.0,471.0,63.0,0.0,651.0,651.0,0.0,471.0,63.0,25.0,92.0,False,500-699
BB516430,2025-09-26,C110054,Bengaluru,Karnataka,Metro,110043,Skincare,Prepaid,SwiftLogix,Google Ads,Delivered,772.0,128.0,0.0,336.0,59.0,0.0,644.0,644.0,0.0,336.0,59.0,12.88,236.12,False,500-699
BB514831,2025-12-11,C108082,Chennai,Tamil Nadu,Metro,110414,Skincare,Prepaid,ZipEx,Google Ads,Delivered,354.0,13.0,49.0,160.0,55.0,0.0,341.0,341.0,49.0,160.0,55.0,7.8,167.2,False,300-499
BB517917,2025-09-29,C112379,Ranchi,Jharkhand,Tier3,110722,Skincare,COD,ZipEx,Organic,Delivered,567.0,27.0,0.0,251.0,106.0,0.0,540.0,540.0,0.0,251.0,106.0,25.0,158.0,False,500-699
BB534796,2025-07-01,C115431,Indore,Madhya Pradesh,Tier2,110624,Household Staples,Prepaid,BharatShip,Organic,Delivered,689.0,60.0,0.0,551.0,96.0,0.0,629.0,629.0,0.0,551.0,96.0,12.58,-30.58,True,500-699
BB539931,2026-01-31,C113498,Delhi,Delhi,Metro,110218,Baby Care,Prepaid,SwiftLogix,Meta Ads,Delivered,773.0,129.0,0.0,486.0,57.0,0.0,644.0,644.0,0.0,486.0,57.0,12.88,88.12,False,500-699
BB537067,2026-02-03,C107062,Jaipur,Rajasthan,Tier2,110491,Home Cleaning,COD,ZipEx,Organic,Delivered,434.0,64.0,49.0,326.0,90.0,0.0,370.0,370.0,49.0,326.0,90.0,25.0,-22.0,True,300-499
BB516812,2025-08-16,C100016,Ranchi,Jharkhand,Tier3,110708,Baby Care,COD,BharatShip,Organic,RTO,1286.0,134.0,0.0,777.0,90.0,140.0,1152.0,0.0,0.0,116.55,230.0,0.0,-346.55,True,1000+
BB519426,2025-09-17,C105502,Kochi,Kerala,Tier2,110596,Haircare,COD,ZipEx,Meta Ads,Delivered,504.0,94.0,49.0,254.0,87.0,0.0,410.0,410.0,49.0,254.0,87.0,25.0,93.0,False,300-499
BB502506,2026-01-21,C112243,Ranchi,Jharkhand,Tier3,110729,Household Staples,COD,BharatShip,Influencer,Delivered,331.0,46.0,49.0,276.0,145.0,0.0,285.0,285.0,49.0,276.0,145.0,25.0,-112.0,True,Under 300
BB501290,2026-03-16,C115393,Delhi,Delhi,Metro,110197,Home Cleaning,Prepaid,SwiftLogix,Meta Ads,Delivered,509.0,61.0,49.0,386.0,58.0,0.0,448.0,448.0,49.0,386.0,58.0,9.94,43.06,False,300-499
BB537412,2025-04-27,C103951,Ranchi,Jharkhand,Tier3,110715,Baby Care,COD,BharatShip,Google Ads,Delivered,982.0,60.0,0.0,606.0,130.0,0.0,922.0,922.0,0.0,606.0,130.0,25.0,161.0,False,700-999
BB529303,2026-03-11,C103122,Bengaluru,Karnataka,Metro,110001,Haircare,Prepaid,ZipEx,Meta Ads,Delivered,328.0,11.0,49.0,176.0,60.0,0.0,317.0,317.0,49.0,176.0,60.0,7.32,122.68,False,300-499
BB529159,2025-09-12,C106278,Indore,Madhya Pradesh,Tier2,110652,Skincare,COD,BharatShip,Influencer,Delivered,1980.0,455.0,0.0,814.0,87.0,0.0,1525.0,1525.0,0.0,814.0,87.0,25.0,599.0,False,1000+
BB516606,2025-12-22,C106180,Hyderabad,Telangana,Metro,110323,Home Cleaning,Prepaid,SwiftLogix,Meta Ads,Delivered,379.0,52.0,49.0,282.0,65.0,0.0,327.0,327.0,49.0,282.0,65.0,7.52,21.48,False,300-499
BB521053,2025-07-20,C103339,Hyderabad,Telangana,Metro,110295,Household Staples,COD,SwiftLogix,Influencer,Delivered,173.0,38.0,49.0,133.0,74.0,0.0,135.0,135.0,49.0,133.0,74.0,25.0,-48.0,True,Under 300
BB539853,2025-04-22,C113205,Kochi,Kerala,Tier2,110589,Home Cleaning,COD,SwiftLogix,Organic,RTO,486.0,30.0,49.0,346.0,106.0,164.0,456.0,0.0,0.0,51.9,270.0,0.0,-321.9,True,300-499
BB537579,2025-09-14,C107478,Bengaluru,Karnataka,Metro,110001,Baby Care,Prepaid,SwiftLogix,Meta Ads,Delivered,764.0,52.0,0.0,457.0,45.0,0.0,712.0,712.0,0.0,457.0,45.0,14.24,195.76,False,700-999
BB516316,2025-05-20,C103433,Bengaluru,Karnataka,Metro,110078,Skincare,COD,ZipEx,Google Ads,Delivered,1307.0,133.0,0.0,596.0,70.0,0.0,1174.0,1174.0,0.0,596.0,70.0,25.0,483.0,False,1000+
BB505281,2025-06-22,C104099,Chennai,Tamil Nadu,Metro,110358,Haircare,Prepaid,ZipEx,Influencer,Delivered,436.0,29.0,49.0,208.0,73.0,0.0,407.0,407.0,49.0,208.0,73.0,9.12,165.88,False,300-499
BB500480,2025-10-17,C108493,Jaipur,Rajasthan,Tier2,110505,Baby Care,Prepaid,BharatShip,Referral,Delivered,1426.0,180.0,0.0,936.0,81.0,0.0,1246.0,1246.0,0.0,936.0,81.0,24.92,204.08,False,1000+
BB506934,2026-02-28,C113615,Kochi,Kerala,Tier2,110596,Home Cleaning,Prepaid,ZipEx,Influencer,Delivered,639.0,191.0,49.0,426.0,91.0,0.0,448.0,448.0,49.0,426.0,91.0,9.94,-29.94,True,300-499
BB531470,2026-03-19,C104742,Chennai,Tamil Nadu,Metro,110407,Haircare,Prepaid,SwiftLogix,Meta Ads,Delivered,1092.0,332.0,0.0,531.0,59.0,0.0,760.0,760.0,0.0,531.0,59.0,15.2,154.8,False,700-999
BB526663,2025-06-02,C105897,Hyderabad,Telangana,Metro,110344,Haircare,COD,SwiftLogix,Meta Ads,Delivered,661.0,155.0,0.0,350.0,52.0,0.0,506.0,506.0,0.0,350.0,52.0,25.0,79.0,False,500-699
BB506135,2025-11-06,C107387,Pune,Maharashtra,Tier2,110428,Household Staples,Prepaid,SwiftLogix,Google Ads,Delivered,713.0,169.0,0.0,555.0,75.0,0.0,544.0,544.0,0.0,555.0,75.0,10.88,-96.88,True,500-699
BB510727,2025-12-14,C107373,Guwahati,Assam,Tier3,110694,Skincare,COD,BharatShip,Organic,Delivered,939.0,43.0,0.0,391.0,113.0,0.0,896.0,896.0,0.0,391.0,113.0,25.0,367.0,False,700-999
BB514059,2026-03-11,C103951,Indore,Madhya Pradesh,Tier2,110624,Home Cleaning,COD,SwiftLogix,Google Ads,Delivered,401.0,84.0,49.0,275.0,100.0,0.0,317.0,317.0,49.0,275.0,100.0,25.0,-34.0,True,300-499
BB531288,2025-11-07,C115233,Delhi,Delhi,Metro,110260,Home Cleaning,Prepaid,SwiftLogix,Meta Ads,Delivered,713.0,68.0,0.0,519.0,76.0,0.0,645.0,645.0,0.0,519.0,76.0,12.9,37.1,False,500-699
BB535897,2025-04-09,C102760,Pune,Maharashtra,Tier2,110449,Skincare,COD,SwiftLogix,Influencer,Delivered,1307.0,238.0,0.0,556.0,107.0,0.0,1069.0,1069.0,0.0,556.0,107.0,25.0,381.0,False,1000+
BB525661,2025-11-10,C106542,Kochi,Kerala,Tier2,110575,Household Staples,COD,BharatShip,Referral,Delivered,398.0,70.0,49.0,338.0,104.0,0.0,328.0,328.0,49.0,338.0,104.0,25.0,-90.0,True,300-499
BB515969,2025-10-16,C100205,Kochi,Kerala,Tier2,110610,Skincare,Prepaid,SwiftLogix,Influencer,Delivered,933.0,81.0,0.0,374.0,92.0,0.0,852.0,852.0,0.0,374.0,92.0,17.04,368.96,False,700-999
BB513611,2025-05-21,C109209,Indore,Madhya Pradesh,Tier2,110645,Household Staples,COD,BharatShip,Meta Ads,Delivered,493.0,47.0,49.0,416.0,83.0,0.0,446.0,446.0,49.0,416.0,83.0,25.0,-29.0,True,300-499
BB508928,2026-03-07,C108901,Lucknow,Uttar Pradesh,Tier2,110554,Home Cleaning,Prepaid,ZipEx,Google Ads,Delivered,241.0,23.0,49.0,166.0,82.0,0.0,218.0,218.0,49.0,166.0,82.0,5.34,13.66,False,Under 300
BB512404,2025-09-20,C100349,Hyderabad,Telangana,Metro,110302,Haircare,Prepaid,SwiftLogix,Meta Ads,Delivered,372.0,62.0,49.0,166.0,49.0,0.0,310.0,310.0,49.0,166.0,49.0,7.18,136.82,False,300-499
BB524336,2025-12-08,C104518,Bengaluru,Karnataka,Metro,110057,Home Cleaning,COD,SwiftLogix,Organic,Delivered,842.0,16.0,0.0,581.0,54.0,0.0,826.0,826.0,0.0,581.0,54.0,25.0,166.0,False,700-999
BB536937,2026-03-17,C115028,Chennai,Tamil Nadu,Metro,110365,Baby Care,Prepaid,SwiftLogix,Influencer,Delivered,1355.0,173.0,0.0,836.0,68.0,0.0,1182.0,1182.0,0.0,836.0,68.0,23.64,254.36,False,1000+
BB511123,2025-10-17,C108906,Mumbai,Maharashtra,Metro,110169,Haircare,COD,SwiftLogix,Referral,RTO,754.0,110.0,0.0,362.0,60.0,93.0,644.0,0.0,0.0,54.3,153.0,0.0,-207.3,True,500-699
BB529419,2026-01-30,C102321,Chennai,Tamil Nadu,Metro,110393,Household Staples,COD,SwiftLogix,Influencer,Delivered,426.0,17.0,49.0,350.0,59.0,0.0,409.0,409.0,49.0,350.0,59.0,25.0,24.0,False,300-499
BB526107,2025-08-30,C107469,Mumbai,Maharashtra,Metro,110190,Skincare,Prepaid,SwiftLogix,Meta Ads,Delivered,978.0,179.0,0.0,411.0,68.0,0.0,799.0,799.0,0.0,411.0,68.0,15.98,304.02,False,700-999
BB505556,2026-01-13,C101206,Mumbai,Maharashtra,Metro,110106,Haircare,COD,SwiftLogix,Referral,Delivered,771.0,29.0,0.0,404.0,74.0,0.0,742.0,742.0,0.0,404.0,74.0,25.0,239.0,False,700-999
BB539269,2026-02-19,C114221,Kochi,Kerala,Tier2,110589,Home Cleaning,COD,SwiftLogix,Influencer,Delivered,181.0,32.0,49.0,128.0,101.0,0.0,149.0,149.0,49.0,128.0,101.0,25.0,-56.0,True,Under 300
BB520536,2025-10-18,C114004,Indore,Madhya Pradesh,Tier2,110645,Home Cleaning,COD,BharatShip,Referral,Delivered,566.0,17.0,0.0,400.0,82.0,0.0,549.0,549.0,0.0,400.0,82.0,25.0,42.0,False,500-699
BB506484,2025-08-19,C106623,Delhi,Delhi,Metro,110267,Home Cleaning,COD,SwiftLogix,Organic,Delivered,363.0,55.0,49.0,261.0,54.0,0.0,308.0,308.0,49.0,261.0,54.0,25.0,17.0,False,300-499
BB528996,2025-12-27,C107326,Bengaluru,Karnataka,Metro,110071,Haircare,COD,SwiftLogix,Google Ads,Delivered,526.0,35.0,49.0,276.0,59.0,0.0,491.0,491.0,49.0,276.0,59.0,25.0,180.0,False,300-499
BB506436,2026-02-27,C110839,Mumbai,Maharashtra,Metro,110106,Household Staples,Prepaid,ZipEx,Organic,Delivered,608.0,23.0,0.0,506.0,65.0,0.0,585.0,585.0,0.0,506.0,65.0,11.7,2.3,False,500-699
BB537278,2025-12-20,C102324,Pune,Maharashtra,Tier2,110421,Home Cleaning,COD,BharatShip,Google Ads,Delivered,472.0,4.0,49.0,325.0,88.0,0.0,468.0,468.0,49.0,325.0,88.0,25.0,79.0,False,300-499
BB514784,2026-01-03,C105309,Delhi,Delhi,Metro,110239,Baby Care,Prepaid,SwiftLogix,Google Ads,Delivered,1692.0,54.0,0.0,1084.0,70.0,0.0,1638.0,1638.0,0.0,1084.0,70.0,32.76,451.24,False,1000+
BB537671,2026-01-27,C115446,Kochi,Kerala,Tier2,110589,Household Staples,Prepaid,SwiftLogix,Google Ads,Delivered,527.0,18.0,0.0,401.0,106.0,0.0,509.0,509.0,0.0,401.0,106.0,10.18,-8.18,True,500-699
BB518236,2025-06-03,C101046,Ranchi,Jharkhand,Tier3,110722,Household Staples,Prepaid,BharatShip,Meta Ads,Delivered,264.0,87.0,49.0,210.0,102.0,0.0,177.0,177.0,49.0,210.0,102.0,4.52,-90.52,True,Under 300
BB529568,2025-06-09,C112827,Bengaluru,Karnataka,Metro,110001,Haircare,Prepaid,ZipEx,Meta Ads,Delivered,761.0,168.0,0.0,410.0,76.0,0.0,593.0,593.0,0.0,410.0,76.0,11.86,95.14,False,500-699
BB528568,2025-08-23,C101087,Mumbai,Maharashtra,Metro,110113,Haircare,COD,SwiftLogix,Google Ads,Delivered,855.0,46.0,0.0,491.0,74.0,0.0,809.0,809.0,0.0,491.0,74.0,25.0,219.0,False,700-999
BB533662,2025-08-05,C103429,Kochi,Kerala,Tier2,110596,Household Staples,COD,ZipEx,Influencer,Delivered,513.0,36.0,49.0,401.0,97.0,0.0,477.0,477.0,49.0,401.0,97.0,25.0,3.0,False,300-499
BB535758,2025-09-09,C106825,Gorakhpur,Uttar Pradesh,Tier3,110799,Haircare,Prepaid,BharatShip,Meta Ads,Delivered,944.0,95.0,0.0,497.0,106.0,0.0,849.0,849.0,0.0,497.0,106.0,16.98,229.02,False,700-999
BB531156,2026-02-04,C115576,Hyderabad,Telangana,Metro,110337,Skincare,COD,SwiftLogix,Google Ads,RTO,513.0,42.0,49.0,235.0,66.0,102.0,471.0,0.0,0.0,35.25,168.0,0.0,-203.25,True,300-499
BB535224,2025-10-30,C107340,Jaipur,Rajasthan,Tier2,110491,Home Cleaning,COD,SwiftLogix,Influencer,Delivered,433.0,27.0,49.0,338.0,83.0,0.0,406.0,406.0,49.0,338.0,83.0,25.0,9.0,False,300-499
BB523905,2025-11-28,C103010,Mumbai,Maharashtra,Metro,110134,Home Cleaning,Prepaid,SwiftLogix,Meta Ads,Delivered,323.0,96.0,49.0,241.0,68.0,0.0,227.0,227.0,49.0,241.0,68.0,5.52,-38.52,True,Under 300
BB529655,2025-12-22,C107809,Bengaluru,Karnataka,Metro,110008,Household Staples,COD,ZipEx,Google Ads,Cancelled,533.0,71.0,49.0,440.0,0.0,0.0,462.0,0.0,0.0,0.0,0.0,0.0,0.0,False,300-499
BB533277,2025-04-01,C108713,Mumbai,Maharashtra,Metro,110134,Home Cleaning,Prepaid,SwiftLogix,Referral,Delivered,371.0,41.0,49.0,273.0,57.0,0.0,330.0,330.0,49.0,273.0,57.0,7.58,41.42,False,300-499
BB534883,2025-09-18,C102735,Delhi,Delhi,Metro,110274,Home Cleaning,Prepaid,SwiftLogix,Influencer,Delivered,533.0,34.0,0.0,372.0,59.0,0.0,499.0,499.0,0.0,372.0,59.0,9.98,58.02,False,300-499
BB513673,2025-08-10,C112046,Siliguri,West Bengal,Tier3,110757,Haircare,COD,BharatShip,Meta Ads,Delivered,649.0,97.0,0.0,339.0,129.0,0.0,552.0,552.0,0.0,339.0,129.0,25.0,59.0,False,500-699
BB501884,2026-01-01,C103707,Indore,Madhya Pradesh,Tier2,110645,Household Staples,COD,BharatShip,Google Ads,RTO,515.0,114.0,49.0,407.0,68.0,105.0,401.0,0.0,0.0,61.05,173.0,0.0,-234.05,True,300-499
BB504484,2026-01-13,C104511,Delhi,Delhi,Metro,110274,Household Staples,COD,ZipEx,Google Ads,Delivered,246.0,18.0,49.0,209.0,79.0,0.0,228.0,228.0,49.0,209.0,79.0,25.0,-36.0,True,Under 300
BB531938,2026-01-08,C108123,Siliguri,West Bengal,Tier3,110750,Household Staples,COD,BharatShip,Meta Ads,Delivered,422.0,52.0,49.0,343.0,127.0,0.0,370.0,370.0,49.0,343.0,127.0,25.0,-76.0,True,300-499
BB517647,2025-12-11,C105379,Chennai,Tamil Nadu,Metro,110407,Baby Care,Prepaid,BharatShip,Organic,Delivered,1145.0,33.0,0.0,665.0,50.0,0.0,1112.0,1112.0,0.0,665.0,50.0,22.24,374.76,False,1000+
BB504989,2025-06-04,C107574,Jaipur,Rajasthan,Tier2,110491,Home Cleaning,COD,SwiftLogix,Organic,RTO,798.0,95.0,0.0,593.0,100.0,155.0,703.0,0.0,0.0,88.95,255.0,0.0,-343.95,True,700-999
BB507689,2025-06-25,C114477,Chennai,Tamil Nadu,Metro,110379,Household Staples,COD,BharatShip,Meta Ads,Delivered,714.0,17.0,0.0,573.0,86.0,0.0,697.0,697.0,0.0,573.0,86.0,25.0,13.0,False,500-699
BB523828,2025-08-12,C110919,Mumbai,Maharashtra,Metro,110169,Haircare,Prepaid,SwiftLogix,Organic,Delivered,441.0,12.0,49.0,203.0,64.0,0.0,429.0,429.0,49.0,203.0,64.0,9.56,201.44,False,300-499
BB529740,2025-12-23,C105077,Bengaluru,Karnataka,Metro,110050,Haircare,Prepaid,ZipEx,Influencer,Delivered,1139.0,288.0,0.0,560.0,63.0,0.0,851.0,851.0,0.0,560.0,63.0,17.02,210.98,False,700-999
